Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
CHPR5,CHPRE,Chenopodium pratericola Rydb. ssp. eupratericola Aellen,
CHPR5,,Chenopodium pratericola Rydb.,desert goosefoot
CHPR5,CHAL6,Chenopodium albescens Small,
CHPR5,CHDEL,Chenopodium desiccatum A. Nelson var. leptophylloides (Murr) Wahl,
CHRU,,Chenopodium rubrum L.,red goosefoot
CHSI2,CHHYG,Chenopodium hybridum L. ssp. gigantospermum (Aellen) Hultén,
CHSI2,CHGI2,Chenopodium gigantospermum Aellen,
CHSI2,,Chenopodium simplex (Torr.) Raf.,mapleleaf goosefoot
CHSI2,CHHY,Chenopodium hybridum auct. non L.,
CHSI2,CHHYG2,Chenopodium hybridum L. var. gigantospermum (Aellen) Rouleau,
CHSI2,CHHYS,Chenopodium hybridum L. var. simplex Torr.,
CHST2,,Chenopodium standleyanum Aellen,Standley's goosefoot
CHST2,CHHYS2,Chenopodium hybridum L. var. standleyanum (Aellen) Fernald,
CHST2,CHGIS,Chenopodium gigantospermum Aellen var. standleyanum (Aellen) Aellen,
CHUR,CHURI,Chenopodium urbicum L. var. intermedium (Mert. & W.D.J. Koch) W.D.J. Koch,
CHUR,,Chenopodium urbicum L.,city goosefoot
CHVU,,Chenopodium vulvaria L.,stinking goosefoot
CHIMA,,Chimaphila Pursh,prince's pine
CHMA3,,Chimaphila maculata (L.) Pursh,striped prince's pine
CHMA3,CHMAD,Chimaphila maculata (L.) Pursh var. dasystemma (Torr.) Kearney & Peebles,
CHUM,,Chimaphila umbellata (L.) W.P.C. Barton,pipsissewa
CHUMC2,CHCO22,Chimaphila corymbosa Pursh,
CHUMC2,,Chimaphila umbellata (L.) W.P.C. Barton ssp. cisatlantica (S.F. Blake) Hultén,pipsissewa
CHUMC2,CHUMC,Chimaphila umbellata (L.) W.P.C. Barton var. cisatlantica S.F. Blake,
CHION,,Chionanthus L.,fringetree
CHVI3,,Chionanthus virginicus L.,white fringetree
CHVI3,CHVIM,Chionanthus virginicus L. var. maritimus Pursh,
CHOND,,Chondrilla L.,chondrilla
CHJU,,Chondrilla juncea L.,rush skeletonweed
CHRYS2,,Chrysanthemum L.,daisy
CHAR13,,Chrysanthemum arcticum L.,arctic daisy
CHARP3,,Chrysanthemum arcticum L. ssp. polare Hultén,arctic daisy
CHARP3,DEARP,Dendranthema arcticum (L.) Tzvelev ssp. polare (Hultén) Heywood,
CHARP3,CHARP2,Chrysanthemum arcticum L. var. polare (Hultén) B. Boivin,
CHARP3,DEHU2,Dendranthema hultenii (Á. Löve & D. Löve) Tzvelev,
CHARP3,ARARP4,Arctanthemum arcticum (L.) Tzvelev ssp. polare (Hultén) Tzvelev,
CHRYS4,,Chrysogonum L.,chrysogonum
CHVI5,,Chrysogonum virginianum L.,green and gold
CHVIV,,Chrysogonum virginianum L. var. virginianum,green and gold
CHVIV,CHVID,Chrysogonum virginianum L. var. dentatum A. Gray,
CHRYS7,,Chrysopsis (Nutt.) Elliott,goldenaster
CHMA14,,Chrysopsis mariana (L.) Elliott,Maryland goldenaster
CHMA14,CHMAM3,Chrysopsis mariana (L.) Elliott var. macradenia Fernald,
CHMA14,HEMAM2,Heterotheca mariana (L.) Shinners var. macradenia (Fernald) V.L. Harms,
CHMA14,HEMA10,Heterotheca mariana (L.) Shinners,
CHMA14,INMA,Inula mariana L.,
CHRYS8,,Chrysosplenium L.,golden saxifrage
CHAM2,,Chrysosplenium americanum Schwein. ex Hook.,American golden saxifrage
CICER,,Cicer L.,cicer
CIAR5,,Cicer arietinum L.,chick pea
CICHO,,Cichorium L.,chicory
CIIN,,Cichorium intybus L.,chicory
CIIN,CIINF,Cichorium intybus L. var. foliosum Hegi,
CIIN,CIINS2,Cichorium intybus L. var. sativum (Bisch.) Janch.,
CICUT,,Cicuta L.,water hemlock
CIBU,,Cicuta bulbifera L.,bulblet-bearing water hemlock
CIMA2,,Cicuta maculata L.,spotted water hemlock
CIMAM,,Cicuta maculata L. var. maculata,spotted water hemlock
CIMAM,CICU,Cicuta curtissii J.M. Coult. & Rose,
CIMAM,CIMAC2,Cicuta maculata L. var. curtissii (J.M. Coult. & Rose) Fernald,
CIMAM,CIME2,Cicuta mexicana J.M. Coult. & Rose,
CIRCA,,Circaea L.,enchanter's nightshade
CIIN4,,Circaea ×intermedia Ehrh. (pro sp.) [alpina × lutetiana],enchanter's nightshade
CIIN4,CIST3,Circaea ×sterilis Boufford,
CIIN4,CICA13,Circaea canadensis sensu Fernald,
CIAL,,Circaea alpina L.,small enchanter's nightshade
CIALA,,Circaea alpina L. ssp. alpina,small enchanter's nightshade
CILU,,Circaea lutetiana L.,broadleaf enchanter's nightshade
CILUC,CICAV,Circaea canadensis (L.) Hill var. virginiana Fernald,
CILUC,CIQUC2,Circaea quadrisulcata (Maxim.) Franch. & Savigny var. canadensis (L.) H. Hara,
CILUC,CILUC2,Circaea lutetiana L. var. canadensis,
CILUC,,Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus,broadleaf enchanter's nightshade
CILUC,CIQUC3,Circaea quadrisulcata (Maxim.) Franch. & Savigny ssp. canadensis (L.) Á. Löve & D. Löve,
CILUC,CILA9,Circaea latifolia Hill,
CIRSI,,Cirsium Mill.,thistle
CIAL2,,Cirsium altissimum (L.) Hill,tall thistle
CIAL2,CAAL22,Carduus altissimus L.,
CIAL2,CIALB,Cirsium altissimum (L.) Hill var. biltmoreanum Petr.,
CIAR4,CIARA3,Cirsium arvense (L.) Scop. var. argenteum (Vest) Fiori,
CIAR4,BRIN18,"Breea incana (S.G. Gmel.) W.A. Weber, ined.",
CIAR4,,Cirsium arvense (L.) Scop.,Canada thistle
CIAR4,BRAR20,Breea arvensis (L.) Less.,
CIAR4,CIARH,Cirsium arvense (L.) Scop. var. horridum Wimm. & Grab.,
CIAR4,CIARI2,Cirsium arvense (L.) Scop. var. integrifolium Wimm. & Grab.,
CIAR4,CISE,Cirsium setosum (Willd.) Besser ex M. Bieb.,
CIAR4,CAAR29,Carduus arvensis (L.) Robson,
CIAR4,CIIN7,Cirsium incanum (S.G. Gmel.) Fisch. ex M. Bieb.,
CIAR4,CIARV,Cirsium arvense (L.) Scop. var. vestitum Wimm. & Grab.,
CIAR4,CIARM,Cirsium arvense (L.) Scop. var. mite Wimm. & Grab.,
CIAR4,SEAR12,Serratula arvensis L.,
CIDI,,Cirsium discolor (Muhl. ex Willd.) Spreng.,field thistle
CIDI,CADI25,Carduus discolor (Muhl. ex Willd.) Nutt.,
CIHO2,,Cirsium horridulum Michx.,yellow thistle
CIHOH,CISP4,Cirsium spinosissimum auct. non (L.) Scop.,
CIHOH,CASM,Carduus smallii (Britton) H.E. Ahles,
CIHOH,CAPI13,Carduus pinetorum Small,
CIHOH,,Cirsium horridulum Michx. var. horridulum,yellow thistle
CIHOH,CASP16,Carduus spinosissimus Walter,
CIHOH,CIHOE,Cirsium horridulum Michx. var. elliottii Torr. & A. Gray,
CIHOH,CISM,Cirsium smallii Britton,
CIMU,,Cirsium muticum Michx.,swamp thistle
CIMU,CAMU16,Carduus muticus (Michx.) Pers.,
CIMU,CIMUM,Cirsium muticum Michx. var. monticola Fernald,
CIMU,CIBI2,Cirsium bigelovii DC.,
CIMU,CIMUS,Cirsium muticum Michx. var. subpinnatifidum (Britton) Fernald,
CIPA6,,Cirsium palustre (L.) Scop.,marsh thistle
CIPU4,,Cirsium pumilum Spreng.,pasture thistle
CIPU4,CIOD,Cirsium odoratum (Muhl. ex W. Bartram) Petr.,
CIPU4,CAPU30,"Carduus pumilus Nutt., nom. illeg.",
CIVU,CAVU4,Carduus vulgaris Savi,
CIVU,CALA58,Carduus lanceolatus L.,
CIVU,,Cirsium vulgare (Savi) Ten.,bull thistle
CIVU,CILA8,"Cirsium lanceolatum (L.) Scop., non Hill",
CIVU,CILAH,Cirsium lanceolatum (L.) Scop. var. hypoleucum DC.,
CITRU,,Citrullus Schrad.,watermelon
CICO7,COVU,Colocynthis vulgaris Schrad.,
CICO7,,Citrullus colocynthis (L.) Schrad.,colocynth
CICO7,CUCO4,Cucumis colocynthis L.,
CILA3,,Citrullus lanatus (Thunb.) Matsum. & Nakai,watermelon
CILAL,CICOL2,Citrullus colocynthis (L.) Schrad. var. lanatus (Thunb.) Matsum. & Nakai,
CILAL,MOLA7,Momordica lanata Thunb.,
CILAL,,Citrullus lanatus (Thunb.) Matsum. & Nakai var. lanatus,watermelon
CILAL,CICI2,"Citrullus citrullus (L.) Karst., nom. inval.",
CILAL,COCI2,Colocynthis citrullus (L.) Kuntze,
CILAL,CIVU3,Citrullus vulgaris Schrad.,
CILAL,CUCI,Cucubertia citrullus L.,
CLADR,,Cladrastis Raf.,yellowwood
CLKE,CLLU,Cladrastis lutea (Michx. f.) K. Koch,
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CLKE,SOKE,Sophora kentukea Dum. Cours.,
CLARK,,Clarkia Pursh,clarkia
CLAM,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr.,farewell to spring
CLAYT,,Claytonia L.,springbeauty
CLCA,,Claytonia caroliniana Michx.,Carolina springbeauty
CLCAC,,Claytonia caroliniana Michx. var. caroliniana,Carolina springbeauty
CLVI3,,Claytonia virginica L.,Virginia springbeauty
CLVIV,,Claytonia virginica L. var. virginica,Virginia springbeauty
CLVIV,CLME2,Claytonia media (DC.) Link,
CLVIV,CLRO6,Claytonia robusta (Somes) Rydb.,
CLVIV2,,Claytonia virginica L. var. virginica f. virginica,Virginia springbeauty
CLEMA,,Clematis L.,leather flower
CLOC2,,Clematis occidentalis (Hornem.) DC.,western blue virginsbower
CLOCO,ATAM2,Atragene americana Sims,
CLOCO,,Clematis occidentalis (Hornem.) DC. var. occidentalis,western blue virginsbower
CLOCO,CLVEG,Clematis verticillaris DC. var. grandiflora B. Boivin,
CLOCO,ATOC,Atragene occidentalis Hornem.,
CLOCO,CLVE3,Clematis verticillaris DC.,
CLOCO,CLVEC2,Clematis verticillaris DC. var. cacuminis Fernald,
CLOC,VIOV3,Viorna ovata (Pursh) Small,
CLOC,,Clematis ochroleuca Aiton,curlyheads
CLOC,COOC4,Coriflora ochroleuca (Aiton) W.A. Weber,
CLOC,VIOC2,Viorna ochroleuca (Aiton) Small,
CLRE2,,Clematis recta L.,ground virginsbower
CLTE4,,Clematis terniflora DC.,sweet autumn virginsbower
CLVI5,CLVIM,Clematis virginiana L. var. missouriensis (Rydb.) Palmer & Steyerm.,
CLVI5,,Clematis virginiana L.,devil's darning needles
CLVI7,,Clematis viticella L.,Italian leather flower
CLVI7,VIVI6,"Viticella viticella (L.) Small, nom. inval.",
CLEOM,,Cleome L.,spiderflower
CLGY,,Cleome gynandra L.,spiderwisp
CLGY,GYGY,Gynandropsis gynandra (L.) Briq.,
CLGY,CLPE4,Cleome pentaphylla L.,
CLHA,CLAR8,Cleome arborea hort.,
CLHA,,Cleome hassleriana Chod.,pink queen
CLHA,CLHO,Cleome houtteana auct. non Schltdl.,
CLHA,CLSP8,Cleome spinosa auct. non Jacq.,
CLHA,CLHA5,"Cleome hasslerana Chodat, orth. var.",
CLHA,TAHA3,Tarenaya hassleriana (Chodat) Iltis,
CLHA,CLPU4,Cleome pungens auct. non Willd.,
CLSE,,Cleome serrulata Pursh,Rocky Mountain beeplant
CLSE,CLSEA2,Cleome serrulata Pursh var. angusta (M.E. Jones) Tidestr.,
CLSE,PESE7,Peritoma serrulata (Pursh) DC.,
CLETH,,Clethra L.,sweetpepperbush
CLAL3,CLALT,Clethra alnifolia L. var. tomentosa (Lam.) Michx.,
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
CLAL3,CLTO,Clethra tomentosa Lam.,
CLINO,,Clinopodium L.,clinopodium
CLAR5,,Clinopodium arkansanum (Nutt.) House,limestone calamint
CLAR5,SAGLA2,Satureja glabella (Michx.) Briq. var. angustifolia (Torr.) Svens.,
CLAR5,CAAR33,Calamintha arkansana (Nutt.) Shinners,
CLAR5,CAGLA2,Calamintha glabella (Michx.) Benth. var. angustifolia (Torr.) DeWolf,
CLAR5,CLGL3,Clinopodium glabrum (Nutt.) Kuntze,
CLAR5,SAGL8,Satureja glabra (Nutt.) Fernald,
CLAR5,HEAR13,Hedeoma arkansana Nutt.,
CLAR5,HEGL11,Hedeoma glabra Nutt.,
CLAR5,SAAR11,Satureja arkansana (Nutt.) Briq.,
CLVU,,Clinopodium vulgare L.,wild basil
CLVU,CAVU8,"Calamintha vulgaris (L.) Halácsy, non Clairv.",
CLVU,SAVU,Satureja vulgaris (L.) Fritsch,
CLVU,CLVUN,Clinopodium vulgare L. var. neogaea (Fernald) C.F. Reed,
CLVU,SAVUD,Satureja vulgaris (L.) Fritsch var. diminuta (Simon) Fernald & Wiegand,
CLVU,SAVUN,Satureja vulgaris (L.) Fritsch var. neogaea Fernald,
CLITO,,Clitoria L.,pigeonwings
CLMA4,,Clitoria mariana L.,Atlantic pigeonwings
CLMA4,MAMA19,Martiusia mariana (L.) Small,
CNICU,,Cnicus L.,cnicus
CNBE,CEBE5,Centaurea benedicta (L.) L.,
CNBE,,Cnicus benedictus L.,blessed thistle
CNBE,CIPU6,Cirsium pugnax Sommier & Levier,
COINC,,Coincya Rouy,star-mustard
COMO9,,Coincya monensis (L.) Greuter & Burdet,star-mustard
COMOR,,Coincya monensis (L.) Greuter & Burdet ssp. recurvata (All.) Leadley,star-mustard
COMOR,HUCH2,Hutera cheiranthos (Vill.) Gomez-Campo,
COMOR,COCH4,Coincya cheiranthos (Vill.) Greuter & Burdet,
COMOR,RHCH4,Rhynchosinapis cheiranthos (Vill.) Dandy,
COLLI,,Collinsia Nutt.,blue eyed Mary
COVE2,,Collinsia verna Nutt.,spring blue eyed Mary
COLLI2,,Collinsonia L.,horsebalm
COCA4,,Collinsonia canadensis L.,richweed
COLLO,,Collomia Nutt.,trumpet
COLI2,,Collomia linearis Nutt.,tiny trumpet
COLUT,,Colutea L.,colutea
COAR6,,Colutea arborescens L.,bladder senna
COMAN,,Comandra Nutt.,bastard toadflax
COUM,,Comandra umbellata (L.) Nutt.,bastard toadflax
COUMU,CORI3,Comandra richardsiana Fernald,
COUMU,,Comandra umbellata (L.) Nutt. ssp. umbellata,bastard toadflax
COMAR3,,Comarum L.,comarum
COPA28,POPA14,Potentilla palustris (L.) Scop.,
COPA28,,Comarum palustre L.,purple marshlocks
COPA28,POPAV,Potentilla palustris (L.) Scop. var. villosa (Pers.) Lehm.,
COPA28,POPAP2,Potentilla palustris (L.) Scop. var. parvifolia (Raf.) Fernald & Long,
COMPT,,Comptonia L'Hér. ex Aiton,sweet fern
COPE80,MYAST,Myrica aspleniifolia L. var. tomentosa (A. Chev) Gleason,
COPE80,COPEA,Comptonia peregrina (L.) J.M. Coult. var. aspleniifolia (L.) Fernald,
COPE80,MYPE4,Myrica peregrina (L.) Kuntze,
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COPE80,LIAS2,Liquidambar aspleniifolia (L.) L.,
COPE80,LIPE8,Liquidambar peregrina L.,
COPE80,MYAS,Myrica aspleniifolia L.,
CONIO,,Conioselinum Hoffm.,hemlockparsley
COCH2,,"Conioselinum chinense (L.) Britton, Sterns & Poggenb.",eastern hemlockparsley
COCH2,COPU14,Conioselinum pumilum Rose,
CONIU,,Conium L.,poison hemlock
COMA2,,Conium maculatum L.,poison hemlock
CONOC4,,Conoclinium DC.,thoroughwort
COCO13,,Conoclinium coelestinum (L.) DC.,blue mistflower
COCO13,EUCO6,Eupatorium coelestinum L.,
CONOP,,Conopholis Wallr.,cancer-root
COAM,,Conopholis americana (L.) Wallr.,American cancer-root
COAM,ORAM,Orobanche americana L.,
CONRI,,Conringia Heist. ex Fabr.,hare's ear mustard
COOR,BROR4,Brassica orientalis L.,
COOR,,Conringia orientalis (L.) Dumort.,hare's ear mustard
CONSO,,Consolida Gray,knight's-spur
COAJ,DEAM2,Delphinium ambiguum L.,
COAJ,,Consolida ajacis (L.) Schur,doubtful knight's-spur
COAJ,DEAJ,Delphinium ajacis L.,
COAJ,COAM4,Consolida ambigua (L.) P.W. Ball & Heywood,
CORE2,DECO6,Delphinium consolida L.,
CORE2,,Consolida regalis Gray,royal knight's-spur
CONVO,,Convolvulus L.,bindweed
COAR4,,Convolvulus arvensis L.,field bindweed
COAR4,STAR7,Strophocaulos arvensis (L.) Small,
COAR4,COAM10,Convolvulus ambigens House,
COAR4,COIN7,Convolvulus incanus auct. non Vahl,
COPI7,,Convolvulus pilosellifolius Desr.,soft bindweed
COWA2,,Convolvulus wallichianus Spreng.,Wallich's bindweed
CONYZ,,Conyza Less.,horseweed
COCA5,,Conyza canadensis (L.) Cronquist,Canadian horseweed
COCAC3,LECA16,Leptilon canadense (L.) Britton,
COCAC3,,Conyza canadensis (L.) Cronquist var. canadensis,Canadian horseweed
COCAC3,ERCA20,Erigeron canadensis L.,
COCAP3,COPA17,Conyza parva Cronquist,
COCAP3,ERCAP2,"Erigeron canadensis L. var. pusillus (Nutt.) B. Boivin, non H.E. Ahles",
COCAP3,,Conyza canadensis (L.) Cronquist var. pusilla (Nutt.) Cronquist,Canadian horseweed
COCAP3,ERPU12,Erigeron pusillus Nutt.,
COCAP3,LEPU9,Leptilon pusillum (Nutt.) Britton,
COPTI,,Coptis Salisb.,goldthread
COTR2,,Coptis trifolia (L.) Salisb.,threeleaf goldthread
COTR2,COGR13,Coptis groenlandica (Oeder) Fernald,
COTR2,COTRG,Coptis trifolia (L.) Salisb. ssp. groenlandica (Oeder) Hultén,
COTR2,COTRG2,Coptis trifolia (L.) Salisb. var. groenlandica (Oeder) Fassett,
COREM,,Corema D. Don,corema
COCO9,,Corema conradii (Torr.) Torr. ex Loudon,broom crowberry
COREO2,,Coreopsis L.,tickseed
COGR5,,Coreopsis grandiflora Hogg ex Sweet,largeflower tickseed
COGRH,COHE8,Coreopsis heterolepis Sherff,
COGRH,,Coreopsis grandiflora Hogg ex Sweet var. harveyana (A. Gray) Sherff,largeflower tickseed
COLA5,COHE7,Coreopsis heterogyna Fernald,
COLA5,,Coreopsis lanceolata L.,lanceleaf tickseed
COLA5,COCR5,Coreopsis crassifolia Aiton,
COLA5,COLAV,Coreopsis lanceolata L. var. villosa Michx.,
COMA6,COMAS,Coreopsis major Walter var. stellata (Nutt.) B.L. Rob.,
COMA6,,Coreopsis major Walter,greater tickseed
COMA6,COMAO2,Coreopsis major Walter var. oemleri (Elliott) Britton ex Small & Vail,
COMA6,COMAR4,Coreopsis major Walter var. rigida (Nutt.) Boynt.,
CORO,,Coreopsis rosea Nutt.,pink tickseed
COTI3,,Coreopsis tinctoria Nutt.,golden tickseed
COTIT,,Coreopsis tinctoria Nutt. var. tinctoria,golden tickseed
COTIT,COCA12,Coreopsis cardaminefolia (DC.) Torr. & A. Gray,
COTIT,COST11,Coreopsis stenophylla Boynt.,
COTIT,COTII,Coreopsis tinctoria Nutt. var. imminuta Sherff,
COTR4,COTRI,Coreopsis tripteris L. var. intercedens Standl.,
COTR4,,Coreopsis tripteris L.,tall tickseed
COTR4,COTRS,Coreopsis tripteris L. var. smithii Sherff,
COTR4,COTRD,Coreopsis tripteris L. var. deamii Standl.,
COTR4,COTRS2,Coreopsis tripteris L. var. subrhomboidea Sherff,
COVE5,,Coreopsis verticillata L.,whorled tickseed
CORIA,,Coriandrum L.,coriander
COSA,,Coriandrum sativum L.,coriander
CORIS,,Corispermum L.,bugseed
COAM8,,Corispermum americanum (Nutt.) Nutt.,American bugseed
COAMA2,,Corispermum americanum (Nutt.) Nutt. var. americanum,American bugseed
COAMA2,COSI6,Corispermum simplicissimum Lunell,
COAMA2,COMA23,Corispermum marginale Rydb. p.p.,
COAMA2,COOR3,Corispermum orientale auct. non Lam.,
COHY,,Corispermum hyssopifolium L.,bugseed
COPA38,,Corispermum pallasii Steven,Siberian bugseed
COPA38,COLE9,Corispermum leptopterum (Asch.) Iljin,
COPA38,COSI8,Corispermum sibiricum Iljin p.p.,
CORNU,,Cornus L.,dogwood
COSL,,Cornus ×slavinii Rehder [rugosa × sericea],dogwood
COAL2,SWAL4,Swida alternifolia (L. f.) Small,
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COAM2,COAMA,Cornus amomum Mill. ssp. amomum,
COAM2,SWAM,Swida amomum (Mill.) Small,
COCA13,CHCA24,Chamaepericlymenum canadense (L.) Asch. & Graebn.,
COCA13,,Cornus canadensis L.,bunchberry dogwood
COCA13,COCAD,Cornus canadensis L. var. dutillyi (Lepage) B. Boivin,
COCA13,COCA27,Cornella canadensis (L.) Rydb.,
CODR,COPR4,Cornus priceae Small,
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
CODR,SWPR,Swida priceae (Small) Small,
COFL2,BEFL,Benthamidia florida (L.) Spach,
COFL2,CYFL7,Cynoxylon floridum (L.) Raf. ex B.D. Jacks.,
COFL2,,Cornus florida L.,flowering dogwood
COKO2,,Cornus kousa Hance,kousa dogwood
COMA21,,Cornus mas L.,Cornelian cherry
COOB9,,Cornus obliqua Raf.,silky dogwood
COOB9,COAMO,Cornus amomum Mill. ssp. obliqua (Raf.) J.S. Wilson,
COOB9,COAMS,Cornus amomum Mill. var. schuetzeana (C.A. Mey.) Rickett,
COOB9,SWAMS,Swida amomum (Mill.) Small var. schuetzeana (C.A. Mey.) A.Haines,
COOB9,COPU10,Cornus purpusii Koehne,
CORA6,COFOR,Cornus foemina Mill. ssp. racemosa (Lam.) J.S. Wilson,
CORA6,,Cornus racemosa Lam.,gray dogwood
CORA6,COPA23,Cornus paniculata L'Hér.,
CORA6,SWRA2,Swida racemosa (Lam.) Moldenke,
CORU,SWRU,Swida rugosa (Lam.) Rydb.,
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSE16,,Cornus sericea L.,redosier dogwood
COSES,COALI,Cornus alba L. var. interior (Rydb.) B. Boivin,
COSES,COAL80,Cornus alba L. p.p.,
COSES,COALS,Cornus alba L. ssp. stolonifera (Michx.) Wangerin,
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COSES,COALS2,Cornus alba L. var. sibirica Lodd. ex Loudon,
COSES,COALB,Cornus alba L. var. baileyi (J.M. Coult. & Evans) B. Boivin,
COSES,COIN5,Cornus instolonea A. Nelson,
COSES,COBA6,Cornus baileyi J.M. Coult. & Evans,
COSES,COSEI,Cornus sericea L. var. interior (Rydb.) H. St. John,
COSES,COIN6,Cornus interior (Rydb.) N. Petersen,
COSES,COSES2,Cornus sericea L. ssp. stolonifera (Michx.) Fosberg,
COSES,COSTI,Cornus stolonifera Michx. var. interior (Rydb.) H. St. John,
COSES,COSTB,Cornus stolonifera Michx. var. baileyi (J.M. Coult. & Evans) Drescher,
COSES,COSTC2,Cornus stolonifera Michx. var. coloradensis (Koehne) C.K. Schneid.,
COSES,COST4,Cornus stolonifera Michx.,
COSES,SWSE,Swida sericea (L.) Holub,
COSES,COSTS2,Cornus stolonifera Michx. var. stolonifera,
COSES,SWST2,Swida stolonifera (Michx.) Rydb.,
COSES,SWIN,Swida instolonea (A. Nelson) Rydb.,
CORON3,,Coronopus Zinn,swinecress
CODI6,,Coronopus didymus (L.) Sm.,lesser swinecress
CODI6,LEDI4,Lepidium didymum L.,
CODI6,CADI21,Carara didyma (L.) Britton,
COSQ,LESQ2,Lepidium squamatum Forssk.,
COSQ,CACO57,Carara coronopus (L.) Medik.,
COSQ,,Coronopus squamatus (Forssk.) Asch.,greater swinecress
COSQ,COPR3,Coronopus procumbens Gilib.,
CORYD,,Corydalis DC.,fumewort
COAU2,COWA5,Corydalis washingtoniana Fedde,
COAU2,,Corydalis aurea Willd.,scrambled eggs
COAU2,CAAU11,Capnoides aureum (Willd.) Kuntze,
COFL3,FUFL,Fumaria flavula Raf.,
COFL3,,Corydalis flavula (Raf.) DC.,yellow fumewort
COFL3,CAFL26,Capnoides flavulum (Raf.) Kuntze,
COIN21,,Corydalis incisa (Thunb.) Pers.,incised fumewort
COSE5,,Corydalis sempervirens (L.) Pers.,rock harlequin
COSE5,CASE16,Capnoides sempervirens (L.) Borkh.,
CORYL,,Corylus L.,hazelnut
COAM3,,Corylus americana Walter,American hazelnut
COAM3,COAMI,Corylus americana Walter var. indehiscens Palmer & Steyerm.,
COAV80,,Corylus avellana L.,common filbert
COCO6,,Corylus cornuta Marshall,beaked hazelnut
COCOC2,,Corylus cornuta Marshall var. cornuta,beaked hazelnut
COCOC2,CORO5,Corylus rostrata Aiton,
COSMO,,Cosmos Cav.,cosmos
COBI2,,Cosmos bipinnatus Cav.,garden cosmos
COSU5,,Cosmos sulphureus Cav.,sulphur cosmos
COTIN,,Cotinus Mill.,smoketree
COCO10,,Cotinus coggygria Scop.,European smoketree
COCO10,RHCO8,Rhus cotinus L.,
COTON,COADP3,Cotoneaster adpressus Bois var. praecox Bois & P. Berthault,
COTON,,Cotoneaster Medik.,cotoneaster
COTON,CONA3,Cotoneaster nanshan Mottet,
COTON,COHYP2,Cotoneaster hybridus hort. var. pendulus,
COAD,,Cotoneaster adpressus Bois,creeping cotoneaster
COHU80,,Cotoneaster hupehensis Rehder & E.H. Wilson,Hupeh cotoneaster
CRASS,,Crassula L.,pygmyweed
CRAQ,HYAQ,Hydrophila aquatica (L.) House,
CRAQ,BUAQ,Bulliarda aquatica (L.) DC.,
CRAQ,,Crassula aquatica (L.) Schoenl.,water pygmyweed
CRAQ,TIAQ2,Tillaeastrum aquaticum (L.) Britton,
CRAQ,TIAQ3,Tillaea aquatica L.,
CRAQ,TIAN2,Tillaea angustifolia Nutt.,
CRAQ,TIAS,Tillaea ascendens Eaton,
CRATA,,Crataegus L.,hawthorn
CRAN6,,Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis],Arnold hawthorn
CRAN6,CRAR,Crataegus arnoldiana Sarg.,
CRBR13,,Crataegus ×brevipes Peck (pro sp.) [intricata × persimilis],hawthorn
CRHU3,,Crataegus ×hudsonica Sarg. (pro sp.) [pruinosa × punctata],hawthorn
CRLA4,CRDI16,Crataegus divisa Sarg.,
CRLA4,,Crataegus ×laneyi Sarg. (pro sp.) [brainerdii × succulenta],hawthorn
CRMA11,,Crataegus ×maligna Sarg. (pro sp.) [chrysocarpa × macrosperma],hawthorn
CRPE14,,Crataegus ×peckietta Sarg. (pro sp.) [scabrida × succulenta],hawthorn
CRPU8,,Crataegus ×puberis Sarg. (pro sp.) [flabellata × punctata],hawthorn
CRRU10,,Crataegus ×rubrocarnea Sarg. (pro sp.) [brainerdii × macrosperma],hawthorn
CRAR7,,Crataegus arcana Beadle,Carolina hawthorn
CRBE6,CRST12,Crataegus strigosa Sarg.,
CRBE6,,Crataegus beata Sarg.,Dunbar's hawthorn
CRBE2,CRED4,Crataegus edita Sarg.,
CRBE2,CRFE7,Crataegus fera Beadle,
CRBE2,,Crataegus berberifolia Torr. & A. Gray,barberry hawthorn
CRBE2,CRTO6,Crataegus torva Beadle,
CRBE2,CRBEE,Crataegus berberifolia Torr. & A. Gray var. edita (Sarg.) Palmer,
CRBE2,CRCR12,Crataegus crocina Beadle,
CRBE2,CRED5,Crataegus edura Beadle,
CRBE2,CRTE9,Crataegus tersa Beadle,
CRBR3,,Crataegus brainerdii Sarg.,Brainerd's hawthorn
CRCA,,Crataegus calpodendron (Ehrh.) Medik.,pear hawthorn
CRCA,CRCAG2,Crataegus calpodendron (Ehrh.) Medik. var. globosa (Sarg.) Palmer,
CRCA,CRCAH2,Crataegus calpodendron (Ehrh.) Medik. var. hispidula (Sarg.) Palmer,
CRCA,CRCAO,Crataegus calpodendron (Ehrh.) Medik. var. obesa (Ashe) Palmer,
CRCA,CRAC6,Crataegus acanthacolonensis Laughlin,
